['0->1']	109236
['0->1', '2->0']	7662
['0->1', '1->2']	7454
['0->1', '2->1']	6974
['2->3']	3470
['0->1', '1->2', '2->3']	1082
['0->1', '2->1', '3->1']	890
['4->5']	796
['3->4']	733
['0->1', '2->3', '3->0']	612
['0->1', '2->0', '3->2']	577
['0->1', '1->2', '3->0']	573
['0->1', '1->3', '2->0']	494
['5->6']	383
['0->1', '1->3', '2->3']	343
['0->1', '2->3', '3->1']	318
['0->1', '2->1', '3->0']	318
['6->7']	315
['0->1', '2->0', '3->1']	314
['0->1', '1->2', '3->2']	308
['2->3', '3->4']	300
['0->1', '2->1', '3->2']	294
['0->1', '1->4']	283
['0->1', '4->0']	281
['2->3', '4->2']	277
['0->1', '2->0', '3->0']	251
['0->1', '1->3', '2->1']	245
['0->1', '1->2', '3->1']	220
['7->8']	205
['8->9']	176
['0->1', '2->1', '3->1', '4->1']	163
['2->3', '4->3']	163
['0->1', '4->1']	160
['0->1', '1->2', '2->3', '3->4']	153
['9->10']	110
['0->1', '1->2', '2->3', '4->0']	103
['10->11']	100
['0->1', '2->3', '3->4', '4->0']	96
['0->1', '1->3', '2->0', '3->4']	91
['0->1', '1->4', '2->3', '3->0']	89
['0->1', '2->3', '3->0', '4->2']	86
['0->1', '1->4', '2->3', '4->2']	85
['11->12']	84
['12->13']	76
['4->5', '6->4']	59
['0->1', '1->5']	59
['13->14']	59
['0->1', '2->3', '3->1', '4->1']	58
['0->1', '1->2', '2->3', '4->3']	56
['0->1', '1->3', '2->3', '4->3']	54
['0->1', '5->0']	53
['2->3', '6->2']	52
['2->3', '3->5']	51
['3->4', '4->5']	50
['2->3', '3->4', '4->5']	50
['0->1', '1->6']	50
['0->1', '1->2', '2->4', '3->0']	49
['4->5', '5->6']	48
['2->3', '5->2']	47
['15->16']	46
['14->15']	44
['0->1', '2->3', '3->4', '4->1']	43
['3->4', '5->3']	42
['0->1', '2->3', '3->1', '4->2']	42
['0->1', '1->4', '4->5']	41
['2->3', '5->3']	40
['2->3', '3->6']	40
['0->1', '2->0', '3->4', '4->2']	39
['0->1', '2->0', '3->2', '4->3']	39
['0->1', '1->2', '3->4', '4->0']	39
['0->1', '6->0']	38
['0->1', '1->2', '3->2', '4->2']	37
['0->1', '1->4', '2->3', '3->4']	37
['16->17']	36
['0->1', '1->3', '2->3', '4->0']	35
['0->1', '1->3', '2->3', '4->1']	35
['0->1', '2->0', '3->1', '4->1']	35
['0->1', '2->3', '3->1', '4->0']	34
['0->1', '1->4', '2->0', '3->2']	32
['0->1', '2->3', '3->0', '4->1']	31
['0->1', '1->2', '2->3', '4->2']	30
['0->1', '2->1', '3->1', '4->1', '5->1']	30
['0->1', '1->4', '2->3', '4->3']	30
['0->1', '2->3', '3->1', '4->3']	29
['2->3', '4->5', '5->2']	29
['0->1', '1->2', '3->0', '4->3']	29
['0->1', '2->1', '3->0', '4->1']	29
['0->1', '1->3', '2->0', '4->2']	29
['0->1', '1->3', '2->3', '4->2']	28
['0->1', '2->1', '3->1', '4->3']	28
['4->5', '6->5']	28
['0->1', '4->1', '5->1']	28
['0->1', '5->1']	28
['0->1', '1->2', '2->3', '4->1']	27
['18->19']	27
['0->1', '4->5', '5->0']	27
['2->3', '3->5', '4->2']	26
['3->4', '5->4']	26
['0->1', '2->1', '3->4', '4->1']	26
['0->1', '1->2', '3->2', '4->3']	25
['5->6', '6->7']	25
['0->1', '2->1', '3->1', '4->2']	25
['0->1', '2->1', '3->1', '4->0']	25
['17->18']	25
['2->3', '3->7']	24
['22->23']	23
['0->1', '2->1', '5->1']	23
['2->3', '4->2', '5->4']	23
['2->3', '3->4', '5->2']	22
['0->1', '1->4', '2->0', '3->4']	22
['5->6', '7->5']	22
['0->1', '2->0', '3->0', '4->1']	21
['0->1', '1->3', '2->1', '4->1']	21
['6->7', '7->8']	21
['0->1', '2->0', '3->2', '4->1']	21
['0->1', '2->1', '3->4', '4->2']	21
['0->1', '1->3', '2->1', '3->4']	21
['0->1', '1->2', '3->2', '4->0']	20
['0->1', '1->4', '2->3', '3->1']	20
['0->1', '7->0']	20
['0->1', '1->2', '2->3', '3->4', '4->5']	20
['0->1', '1->3', '2->3', '3->4']	20
['0->1', '2->1', '3->2', '4->3']	20
['0->1', '2->0', '3->1', '4->2']	20
['0->1', '6->1']	20
['0->1', '1->2', '2->4', '3->4']	20
['2->3', '4->3', '5->3']	19
['0->1', '1->5', '4->5']	19
['0->1', '2->1', '3->4', '4->0']	19
['0->1', '1->4', '5->0']	19
['0->1', '2->0', '3->2', '4->2']	19
['0->1', '2->3', '3->0', '4->0']	19
['0->1', '1->7']	19
['5->6', '7->6']	19
['2->3', '8->2']	18
['2->3', '6->3']	18
['19->20']	18
['0->1', '2->1', '3->2', '4->1']	18
['0->1', '1->5', '4->0']	18
['0->1', '1->2', '3->1', '4->2']	18
['4->5', '7->4']	17
['20->21']	17
['0->1', '1->2', '3->4', '4->2']	17
['2->3', '3->8']	17
['0->1', '1->2', '3->1', '4->1']	17
